
CPIO INFORMATION 

MET Start: 514289169.22 Stop: 514289169.22
UTC Start: 2017:109:10:06:04 Stop: 2017:109:10:06:04

OBSID: 00000000000 Target: 0 Segment: 0
RA: 0.00000 Dec: 0.00000
Roll: 0.00000

DATAMODE: -- (none) --
CPIONAME:onslew.sou


-----------------------------------------------------------

EXTENSION : TRIG_SOURCE
DATAMODE : -- (none) --
TYPE : TRIG_SOURCE
Number of Rows : 1300

Names of Columns: 

TIME 1D (1)
NAME 15A (15)
SCRIPT 1A (1)
CATNUM 1J (1)
DSPCLEAN 1X (1)
SRC_TYPE 1I (1)
MERIT 1I (1)
RA_OBJ 1E (1)
DEC_OBJ 1E (1)
THRESHOLD 1E (1)
LDPNAME 15A15 (15)
APID 1I (1)
LDP 1J (1)



NOTE: "VVVVVVVV" indicates repeated lines have been removed

+------+------------+---------------+-+-----------+----------+--------+--------+------------------+------------------+------------------+---------------+--------+-----------+
| ROW| TIME| NAME|S| CATNUM| DSPCLEAN|SRC_TYPE| MERIT| RA_OBJ| DEC_OBJ| THRESHOLD| LDPNAME| APID| LDP|
| 75|514289169.22|H1254-690 |B| 15063|0x00000000| 16| 95| 194.40| -69.283| -6902.0|onslew.sou | 481| 48954|
| 76|514289169.22|H1417-624 |0| 10064|0x00000000| 13| 95| 215.30| -62.700| 76.000|onslew.sou | 481| 48954|
| 77|514289169.22|H1517+656 |0| 10065|0x00000000| 13| 95| 229.45| 65.420| 21.000|onslew.sou | 481| 48954|
| 78|514289169.22|H1538-522 |0| 10066|0x00000000| 13| 95| 235.60| -52.386| 55.130|onslew.sou | 481| 48954|
| 79|514289169.22|H1608-522 |B| 10067|0x00000000| 11| 95| 243.18| -52.417| 259.00|onslew.sou | 481| 48954|
| 80|514289169.22|H1608-522 |B| 15067|0x00000000| 16| 95| 243.18| -52.417| -92810.|onslew.sou | 481| 48954|
| 81|514289169.22|H1624-490 |B| 10068|0x00000000| 11| 95| 247.02| -49.200| 76.000|onslew.sou | 481| 48954|
| 82|514289169.22|4U_1636-536 |0| 10069|0x00000000| 13| 95| 250.23| -53.751| 176.53|onslew.sou | 481| 48954|
| 83|514289169.22|4U_1636-536 |0| 15069|0x00000000| 16| 95| 250.23| -53.751| -46840.|onslew.sou | 481| 48954|
| 84|514289169.22|H1658-298 |B| 10070|0x00000000| 11| 95| 255.52| -29.950| 72.000|onslew.sou | 481| 48954|
| 85|514289169.22|H1658-298 |B| 15070|0x00000000| 16| 95| 255.52| -29.950| -5218.0|onslew.sou | 481| 48954|
| 86|514289169.22|H1705-250 |0| 10071|0x00000000| 13| 95| 257.05| -25.083| 1059.0|onslew.sou | 481| 48954|
| 87|514289169.22|H1705-440 |B| 10072|0x00000000| 11| 95| 257.23| -44.100| 182.00|onslew.sou | 481| 48954|
| 88|514289169.22|H1705-440 |B| 15072|0x00000000| 16| 95| 257.23| -44.100| -62256.|onslew.sou | 481| 48954|
| 89|514289169.22|H1743-322 |0| 10073|0x00000000| 4| 95| 266.57| -32.235| 39.270|onslew.sou | 481| 48954|
| 90|514289169.22|H1745-203 |0| 10074|0x00000000| 13| 95| 267.23| -20.367| 171.63|onslew.sou | 481| 48954|
| 91|514289169.22|H1745-203 |0| 15074|0x00000000| 16| 95| 267.23| -20.367| -22332.|onslew.sou | 481| 48954|
| 92|514289169.22|H1755-338 |0| 10075|0x00000000| 13| 95| 269.67| -33.817| 76.000|onslew.sou | 481| 48954|
